STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,57.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,51.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,47.0,0.0,0.0,0.0,missed_category,missed_category,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,44.0,1.0,0.0,missed_category,missed_category,0.0,0.0,0.0,2.0
STANDING,1.0,0.0,0.0,0.0,52.0,0.0,missed_category,missed_category,1.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,50.0,missed_category,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,0,0,0,0
LIE_TO_SIT,0,0,0,0,0,0,missed_category,missed_category,0,0,0,4
STAND_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,0,0,1,0
LIE_TO_STAND,0,0,0,0,0,0,missed_category,missed_category,0,0,0,4
,index,real_category,predicted_category
0,15,3,10
1,69,8,10
2,70,8,10
3,71,8,10
4,85,11,9
5,167,4,0
6,168,4,6
7,182,3,4
8,183,3,10
9,229,8,10
